                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.71232,                0.43767,                0.94026,                0.89029,                0.83297,                0.88148,                0.38565,                   1.99,                0.81034,                 1.6985,             0.00046934,             0.00046934,             0.00046934
                     85,                0.70965,                0.43722,                0.93748,                0.89509,                  0.838,                0.87845,                0.37995,                 2.0001,                 0.8177,                 1.7011,             0.00045801,             0.00045801,             0.00045801
                     86,                 0.6943,                0.42521,                0.93171,                0.88358,                0.84423,                0.88611,                0.38203,                 1.9967,                0.81646,                 1.6848,             0.00044672,             0.00044672,             0.00044672
                     87,                0.69618,                0.42852,                0.93562,                0.89799,                0.82364,                0.88337,                0.38413,                 2.0034,                0.83145,                 1.7071,             0.00043547,             0.00043547,             0.00043547
                     88,                0.69816,                0.42494,                0.93575,                0.90513,                0.83103,                0.88948,                0.39013,                 1.9888,                0.81229,                 1.6875,             0.00042429,             0.00042429,             0.00042429
                     89,                0.68936,                0.42663,                0.92986,                0.88933,                0.83404,                0.88216,                0.39074,                 1.9883,                0.81508,                 1.6943,             0.00041316,             0.00041316,             0.00041316
                     90,                0.67635,                0.41611,                0.93128,                0.90048,                0.82759,                 0.8849,                0.38744,                 1.9916,                0.80766,                 1.6891,              0.0004021,              0.0004021,              0.0004021
                     91,                 0.6762,                0.41177,                0.92771,                0.89789,                0.84252,                0.88996,                 0.3871,                 1.9934,                0.79801,                 1.6874,             0.00039111,             0.00039111,             0.00039111
                     92,                0.66879,                0.40921,                0.92646,                 0.8907,                0.83426,                0.87766,                0.38626,                 1.9817,                0.80656,                 1.6757,              0.0003802,              0.0003802,              0.0003802
                     93,                 0.6614,                0.40253,                0.92211,                 0.9076,                 0.8289,                0.89025,                0.38591,                 2.0103,                 0.8008,                 1.7044,             0.00036936,             0.00036936,             0.00036936
                     94,                0.66281,                0.40959,                0.92406,                 0.8825,                0.85275,                0.89075,                0.38908,                 1.9964,                0.80676,                 1.6917,             0.00035861,             0.00035861,             0.00035861
                     95,                0.66092,                0.40342,                  0.923,                0.89866,                0.83822,                0.88624,                0.38706,                  2.002,                0.81186,                 1.6884,             0.00034794,             0.00034794,             0.00034794
                     96,                0.65038,                0.39858,                0.91899,                0.88601,                0.84498,                0.88518,                0.38578,                  2.005,                0.80799,                 1.6976,             0.00033737,             0.00033737,             0.00033737
                     97,                0.64817,                 0.4011,                 0.9205,                0.89114,                0.83895,                0.88727,                0.38691,                 2.0025,                0.79634,                 1.6997,              0.0003269,              0.0003269,              0.0003269
                     98,                 0.6486,                0.40043,                0.91951,                0.90115,                0.84712,                0.89002,                0.38966,                 2.0032,                0.80156,                 1.6884,             0.00031653,             0.00031653,             0.00031653
                     99,                0.63515,                0.39455,                 0.9154,                0.89972,                0.83961,                0.88888,                0.39318,                 1.9967,                0.80623,                  1.687,             0.00030627,             0.00030627,             0.00030627
                    100,                 0.6362,                0.39372,                0.91958,                0.87421,                0.85587,                0.88554,                0.38909,                 2.0041,                0.81571,                 1.6913,             0.00029612,             0.00029612,             0.00029612
                    101,                0.63038,                0.39174,                0.91691,                0.88326,                0.85802,                0.88886,                 0.3874,                 1.9965,                0.79461,                 1.6945,             0.00028608,             0.00028608,             0.00028608
                    102,                0.62149,                 0.3872,                0.91267,                0.89175,                0.85374,                 0.8894,                0.39055,                 1.9968,                0.79591,                 1.6842,             0.00027617,             0.00027617,             0.00027617
                    103,                0.61181,                0.38676,                0.90861,                0.89177,                 0.8566,                0.88886,                 0.3889,                 1.9975,                0.79743,                 1.6913,             0.00026638,             0.00026638,             0.00026638
                    104,                 0.6124,                 0.3805,                0.90898,                0.88646,                0.85499,                0.88843,                0.38685,                 2.0002,                0.79737,                 1.7022,             0.00025672,             0.00025672,             0.00025672
                    105,                0.62184,                0.38932,                 0.9134,                0.89001,                0.84824,                0.88373,                0.38586,                 2.0005,                0.80564,                 1.7067,             0.00024719,             0.00024719,             0.00024719
                    106,                0.61021,                0.37989,                0.90712,                0.89663,                0.84411,                0.88925,                0.38825,                 2.0054,                0.80658,                 1.7047,             0.00023781,             0.00023781,             0.00023781
                    107,                0.60129,                0.37595,                0.90631,                0.89809,                0.84848,                0.89045,                0.38887,                 2.0042,                0.79445,                  1.705,             0.00022856,             0.00022856,             0.00022856
                    108,                0.59294,                0.37294,                0.90299,                0.88162,                  0.853,                0.88828,                0.38985,                 2.0013,                0.81085,                 1.7079,             0.00021946,             0.00021946,             0.00021946
                    109,                 0.5913,                0.36629,                 0.9013,                 0.8866,                0.85173,                0.88778,                0.38608,                 2.0105,                0.80477,                 1.7119,             0.00021051,             0.00021051,             0.00021051
                    110,                0.59309,                0.36773,                0.90611,                0.88939,                0.85036,                0.88715,                0.38775,                  2.001,                0.80531,                 1.6948,             0.00020171,             0.00020171,             0.00020171
                    111,                0.58541,                0.37034,                 0.9021,                0.89262,                0.85185,                0.88974,                0.38834,                 2.0032,                0.80687,                 1.7033,             0.00019307,             0.00019307,             0.00019307
                    112,                0.58553,                0.36841,                0.90183,                0.89757,                0.84865,                0.88759,                0.38895,                 2.0019,                0.81288,                 1.7058,             0.00018459,             0.00018459,             0.00018459
                    113,                0.57415,                0.36254,                0.89831,                0.89643,                0.84723,                0.89314,                0.39183,                 2.0064,                0.81252,                 1.7076,             0.00017628,             0.00017628,             0.00017628
                    114,                0.58309,                0.36854,                0.90049,                 0.8866,                0.85337,                0.89034,                0.39246,                 2.0032,                0.79789,                 1.7086,             0.00016813,             0.00016813,             0.00016813
                    115,                0.58175,                0.36593,                0.90277,                0.90682,                 0.8487,                0.89143,                0.39153,                 1.9992,                0.79866,                 1.7023,             0.00016016,             0.00016016,             0.00016016
                    116,                0.57379,                0.36683,                0.90072,                0.89656,                0.85503,                0.89223,                0.39106,                 1.9996,                0.79935,                 1.7076,             0.00015237,             0.00015237,             0.00015237
                    117,                0.56807,                0.35874,                0.89746,                0.89988,                0.84629,                0.89612,                0.39277,                 1.9996,                0.79713,                 1.7051,             0.00014475,             0.00014475,             0.00014475
                    118,                0.56732,                0.35369,                0.89718,                0.88227,                0.86335,                0.89542,                0.39335,                 1.9995,                0.80005,                 1.6994,             0.00013732,             0.00013732,             0.00013732
                    119,                0.56197,                0.35687,                0.89715,                0.88807,                0.86436,                0.89599,                0.39335,                 2.0022,                0.80059,                 1.7045,             0.00013007,             0.00013007,             0.00013007
                    120,                0.55495,                 0.3512,                0.89138,                0.91643,                0.83892,                0.89146,                 0.3932,                 2.0058,                 0.8057,                 1.7086,             0.00012301,             0.00012301,             0.00012301
                    121,                0.55702,                0.35239,                0.89412,                0.89356,                0.86602,                 0.8977,                0.39377,                 1.9999,                0.80193,                 1.7033,             0.00011614,             0.00011614,             0.00011614
                    122,                 0.5501,                0.34649,                0.89193,                0.90177,                0.85167,                0.89475,                0.39112,                 2.0022,                0.80533,                 1.7091,             0.00010947,             0.00010947,             0.00010947
                    123,                0.54979,                0.34786,                0.89324,                0.88217,                0.86521,                0.89496,                0.39479,                 2.0017,                 0.8036,                 1.7057,             0.00010299,             0.00010299,             0.00010299
                    124,                0.56067,                0.35306,                0.89579,                0.89567,                0.85174,                0.89232,                 0.3934,                 2.0048,                 0.7984,                 1.7075,             9.6721e-05,             9.6721e-05,             9.6721e-05
                    125,                 0.5442,                0.34221,                0.88985,                0.88584,                0.86688,                 0.8966,                0.39499,                 2.0022,                0.79499,                 1.7081,             9.0652e-05,             9.0652e-05,             9.0652e-05
                    126,                0.53918,                0.34037,                0.88956,                0.89501,                0.86504,                0.89551,                0.39219,                 2.0081,                0.80105,                  1.716,             8.4789e-05,             8.4789e-05,             8.4789e-05
                    127,                0.53316,                0.33545,                0.88919,                0.90117,                 0.8588,                0.89756,                0.39543,                 2.0061,                0.79836,                 1.7161,             7.9135e-05,             7.9135e-05,             7.9135e-05
                    128,                0.54183,                 0.3443,                0.89077,                0.90012,                0.85157,                0.89518,                0.39525,                 2.0043,                 0.7946,                 1.7117,             7.3692e-05,             7.3692e-05,             7.3692e-05
                    129,                0.53491,                0.33697,                0.88641,                0.88926,                0.86367,                0.89412,                0.39429,                 2.0039,                0.79599,                 1.7112,             6.8463e-05,             6.8463e-05,             6.8463e-05
                    130,                 0.5373,                0.34254,                 0.8909,                0.89067,                0.85686,                0.89205,                0.39458,                 2.0026,                0.79336,                 1.7059,              6.345e-05,              6.345e-05,              6.345e-05
                    131,                 0.5416,                0.34404,                0.89381,                0.89949,                0.84888,                0.89048,                0.39266,                  2.003,                0.79023,                 1.7047,             5.8655e-05,             5.8655e-05,             5.8655e-05
                    132,                 0.5405,                0.34059,                0.89169,                0.90732,                0.84923,                0.89337,                0.39203,                 2.0039,                0.79329,                 1.7079,             5.4081e-05,             5.4081e-05,             5.4081e-05
                    133,                 0.5306,                0.34093,                0.88818,                0.90836,                0.84625,                0.88972,                0.39112,                 2.0058,                0.79324,                 1.7133,             4.9729e-05,             4.9729e-05,             4.9729e-05
                    134,                0.53296,                0.33851,                0.88811,                0.89207,                0.85135,                0.89012,                0.39182,                 2.0061,                0.79548,                 1.7132,             4.5601e-05,             4.5601e-05,             4.5601e-05
                    135,                0.53152,                0.33683,                0.88751,                0.89429,                0.85077,                0.88966,                0.39232,                 2.0063,                0.79477,                 1.7136,               4.17e-05,               4.17e-05,               4.17e-05
                    136,                0.51864,                0.33131,                0.88265,                0.89672,                0.84753,                0.89092,                0.39278,                  2.006,                  0.797,                 1.7147,             3.8026e-05,             3.8026e-05,             3.8026e-05
                    137,                0.52501,                0.33275,                0.88743,                0.89828,                0.85128,                0.89259,                0.39271,                 2.0084,                0.79614,                 1.7176,             3.4582e-05,             3.4582e-05,             3.4582e-05
                    138,                0.52019,                0.33203,                0.88533,                0.89847,                0.84946,                0.89065,                0.39188,                 2.0089,                0.80081,                 1.7167,             3.1369e-05,             3.1369e-05,             3.1369e-05
                    139,                0.52573,                0.33768,                0.88882,                0.89416,                0.84965,                0.88704,                0.39323,                 2.0065,                0.80211,                  1.714,             2.8388e-05,             2.8388e-05,             2.8388e-05
                    140,                0.51736,                0.33041,                0.88473,                0.89243,                 0.8529,                0.89218,                0.39376,                 2.0051,                0.80095,                 1.7133,              2.564e-05,              2.564e-05,              2.564e-05
                    141,                  1.173,                0.49435,                 1.1907,                0.89879,                0.84955,                0.88985,                  0.391,                 2.0042,                0.79089,                 1.7011,             2.3128e-05,             2.3128e-05,             2.3128e-05
                    142,                 1.1409,                0.47703,                 1.1763,                0.90463,                0.84552,                0.88763,                0.38743,                 2.0056,                0.78765,                  1.689,             2.0851e-05,             2.0851e-05,             2.0851e-05
                    143,                 1.1253,                0.47033,                 1.1624,                0.90724,                0.84237,                0.88859,                0.38664,                 2.0044,                0.78954,                 1.6799,             1.8811e-05,             1.8811e-05,             1.8811e-05
                    144,                 1.1127,                0.46905,                 1.1619,                0.90374,                0.84231,                0.88752,                0.38825,                 2.0055,                0.78706,                 1.6792,              1.701e-05,              1.701e-05,              1.701e-05
                    145,                  1.117,                0.46941,                  1.157,                0.89726,                0.84273,                 0.8852,                0.38795,                 2.0066,                0.78594,                 1.6796,             1.5446e-05,             1.5446e-05,             1.5446e-05
                    146,                 1.1062,                0.46316,                 1.1595,                0.90226,                0.84478,                0.88828,                0.38795,                 2.0072,                0.78706,                 1.6798,             1.4123e-05,             1.4123e-05,             1.4123e-05
                    147,                  1.104,                0.46282,                 1.1582,                0.89821,                0.84751,                0.88813,                0.38794,                 2.0081,                0.78891,                 1.6813,             1.3039e-05,             1.3039e-05,             1.3039e-05
                    148,                 1.0975,                0.45899,                 1.1499,                0.88964,                0.84841,                 0.8858,                0.38789,                 2.0102,                0.79053,                 1.6842,             1.2195e-05,             1.2195e-05,             1.2195e-05
                    149,                 1.1026,                0.45548,                 1.1497,                0.89031,                0.84802,                0.88637,                0.38813,                 2.0116,                0.78971,                 1.6852,             1.1592e-05,             1.1592e-05,             1.1592e-05
